시리얼,자치구 행정동,상권배후지코드
4001,서초구 서초3동,3110296
4005,서초구 양재1동,3110314
4007,강동구 성내1동,3110404
4008,강남구 대치4동,3110331
4010,강남구 역삼1동,3110313
4013,강남구 압구정동,3110298
4014,중구 신당동,3110033
4016,중구 명동,3110016
4019,중구 회현동,3110020
4020,용산구 이태원2동,3110044
4021,은평구 녹번동,3110162
4022,은평구 대조동,3110166
4023,강서구 방화3동,3110228
4024,강서구 방화1동,3110218
4025,강서구 공항동,3110229
4028,도봉구 창1동,3110104
4031,서대문구 홍제3동,3110180
4033,강동구 천호1동,3110363
4035,관악구 낙성대동,3110284
4036,양천구 신정4동,3110196
4037,종로구 가회동,3110017
4040,종로구 이화동,3110027
4042,성동구 성수1가2동,3110050
4043,성동구 성수1가1동,3110039
4046,강남구 신사동,3110288
4047,광진구 화양동,3110068
4048,광진구 구의1동,3110091
4050,서대문구 천연동,3110141
4053,광진구 광장동,3110079
