동별(2),자연 비율(%),공장용지 등 비율(%),도로 등 비율(%),학교용지 등 비율(%)
소계,22.74530216,0.575125782,15.11039263,8.783684163
종로구,39.13885841,0.024984567,10.03088354,5.214596947
중구,12.90892586,0.120548741,22.70455373,9.31701312
용산구,7.328208417,0.048371542,17.73103731,3.137598556
성동구,1.530380722,2.94584059,17.39701891,11.70438742
광진구,14.49424518,0.118484401,15.70030078,12.48381688
동대문구,5.135885237,0.158876497,22.47055412,11.57343521
중랑구,14.33820059,0.155174078,18.70375315,10.10388538
성북구,32.91975754,0.105382082,11.77093453,9.082296881
강북구,53.04581826,0.0876841,8.488633831,6.464525928
도봉구,46.48347078,0.2578363,11.0342482,6.960359324
노원구,43.46235716,0.087023765,10.28830506,11.3950572
은평구,44.49319135,0.080125325,10.51316215,5.539412568
서대문구,26.38865851,0.058938629,13.48124285,15.23329743
마포구,1.324102137,0.118592823,18.09279581,14.97030073
양천구,6.116066421,0.250865609,20.34710664,16.76552292
강서구,6.729268124,0.57985392,13.08747758,7.18017368
구로구,14.74552667,2.947893302,19.32339714,8.99354888
금천구,20.84525482,9.956358134,18.16528209,5.384479841
영등포구,0.252814086,1.207450235,19.6912432,5.585944209
동작구,14.57644852,0.062601857,15.41195898,13.1044297
관악구,54.3275772,0.041916161,8.891360003,5.558318198
서초구,37.94972418,0.122745226,13.88339669,4.352687795
강남구,15.25979174,0.176817792,18.00735637,8.296749186
송파구,2.267316802,0.117315113,19.79969387,12.77491515
강동구,11.51379716,0.130624446,18.18044577,9.504325342
